"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"04/24/1980","35","Ozone","","06-113-1002","AQS"
"04/25/1980","42","Ozone","","06-113-1002","AQS"
"04/26/1980","49","Ozone","","06-113-1002","AQS"
"04/27/1980","90","Ozone","","06-113-1002","AQS"
"04/28/1980","34","Ozone","","06-113-1002","AQS"
"04/29/1980","44","Ozone","","06-113-1002","AQS"
"04/30/1980","44","Ozone","","06-113-1002","AQS"
"05/01/1980","51","Ozone","","06-113-1002","AQS"
"05/02/1980","46","Ozone","","06-113-1002","AQS"
"05/03/1980","101","Ozone","","06-113-1002","AQS"
"05/04/1980","61","Ozone","","06-113-1002","AQS"
"05/05/1980","35","Ozone","","06-113-1002","AQS"
"05/06/1980","43","Ozone","","06-113-1002","AQS"
"05/07/1980","42","Ozone","","06-113-1002","AQS"
"05/08/1980","34","Ozone","","06-113-1002","AQS"
"05/09/1980","33","Ozone","","06-113-1002","AQS"
"05/10/1980","43","Ozone","","06-113-1002","AQS"
"05/11/1980","42","Ozone","","06-113-1002","AQS"
"05/12/1980","43","Ozone","","06-113-1002","AQS"
"05/13/1980","40","Ozone","","06-113-1002","AQS"
"05/14/1980","44","Ozone","","06-113-1002","AQS"
"05/15/1980","48","Ozone","","06-113-1002","AQS"
"05/16/1980","58","Ozone","","06-113-1002","AQS"
"05/17/1980","48","Ozone","","06-113-1002","AQS"
"05/18/1980","119","Ozone","","06-113-1002","AQS"
"05/19/1980","108","Ozone","","06-113-1002","AQS"
"05/20/1980","100","Ozone","","06-113-1002","AQS"
"05/21/1980","40","Ozone","","06-113-1002","AQS"
"05/22/1980","37","Ozone","","06-113-1002","AQS"
"05/23/1980","33","Ozone","","06-113-1002","AQS"
"05/24/1980","35","Ozone","","06-113-1002","AQS"
"05/25/1980","37","Ozone","","06-113-1002","AQS"
"05/26/1980","54","Ozone","","06-113-1002","AQS"
"05/27/1980","44","Ozone","","06-113-1002","AQS"
"05/28/1980","38","Ozone","","06-113-1002","AQS"
"05/29/1980","48","Ozone","","06-113-1002","AQS"
"05/30/1980","42","Ozone","","06-113-1002","AQS"
"05/31/1980","77","Ozone","","06-113-1002","AQS"
"06/01/1980","39","Ozone","","06-113-1002","AQS"
"06/02/1980","44","Ozone","","06-113-1002","AQS"
"06/03/1980","39","Ozone","","06-113-1002","AQS"
"06/04/1980","34","Ozone","","06-113-1002","AQS"
"06/05/1980","42","Ozone","","06-113-1002","AQS"
"06/06/1980","42","Ozone","","06-113-1002","AQS"
"06/07/1980","47","Ozone","","06-113-1002","AQS"
"06/08/1980","46","Ozone","","06-113-1002","AQS"
"06/09/1980","51","Ozone","","06-113-1002","AQS"
"06/10/1980","44","Ozone","","06-113-1002","AQS"
"06/11/1980","40","Ozone","","06-113-1002","AQS"
"06/12/1980","44","Ozone","","06-113-1002","AQS"
"06/13/1980","42","Ozone","","06-113-1002","AQS"
"06/14/1980","37","Ozone","","06-113-1002","AQS"
"06/15/1980","42","Ozone","","06-113-1002","AQS"
"06/16/1980","61","Ozone","","06-113-1002","AQS"
"06/17/1980","90","Ozone","","06-113-1002","AQS"
"06/18/1980","122","Ozone","","06-113-1002","AQS"
"06/19/1980","51","Ozone","","06-113-1002","AQS"
"06/20/1980","61","Ozone","","06-113-1002","AQS"
"06/21/1980","49","Ozone","","06-113-1002","AQS"
"06/22/1980","37","Ozone","","06-113-1002","AQS"
"06/23/1980","44","Ozone","","06-113-1002","AQS"
"06/24/1980","34","Ozone","","06-113-1002","AQS"
"06/25/1980","42","Ozone","","06-113-1002","AQS"
"06/26/1980","40","Ozone","","06-113-1002","AQS"
"06/27/1980","43","Ozone","","06-113-1002","AQS"
"06/28/1980","161","Ozone","","06-113-1002","AQS"
"06/29/1980","40","Ozone","","06-113-1002","AQS"
"06/30/1980","61","Ozone","","06-113-1002","AQS"
"07/01/1980","40","Ozone","","06-113-1002","AQS"
"07/02/1980","24","Ozone","","06-113-1002","AQS"
"07/03/1980","43","Ozone","","06-113-1002","AQS"
"07/04/1980","39","Ozone","","06-113-1002","AQS"
"07/05/1980","40","Ozone","","06-113-1002","AQS"
"07/06/1980","42","Ozone","","06-113-1002","AQS"
"07/07/1980","37","Ozone","","06-113-1002","AQS"
"07/08/1980","32","Ozone","","06-113-1002","AQS"
"07/09/1980","37","Ozone","","06-113-1002","AQS"
"07/10/1980","71","Ozone","","06-113-1002","AQS"
"07/11/1980","93","Ozone","","06-113-1002","AQS"
"07/12/1980","44","Ozone","","06-113-1002","AQS"
"07/13/1980","40","Ozone","","06-113-1002","AQS"
"07/14/1980","47","Ozone","","06-113-1002","AQS"
"07/15/1980","101","Ozone","","06-113-1002","AQS"
"07/16/1980","161","Ozone","","06-113-1002","AQS"
"07/17/1980","182","Ozone","","06-113-1002","AQS"
"07/18/1980","51","Ozone","","06-113-1002","AQS"
"07/19/1980","140","Ozone","","06-113-1002","AQS"
"07/20/1980","133","Ozone","","06-113-1002","AQS"
"07/21/1980","140","Ozone","","06-113-1002","AQS"
"07/22/1980","151","Ozone","","06-113-1002","AQS"
"07/23/1980","150","Ozone","","06-113-1002","AQS"
"07/24/1980","140","Ozone","","06-113-1002","AQS"
"07/25/1980","84","Ozone","","06-113-1002","AQS"
"07/26/1980","182","Ozone","","06-113-1002","AQS"
"07/27/1980","182","Ozone","","06-113-1002","AQS"
"07/28/1980","49","Ozone","","06-113-1002","AQS"
"07/29/1980","93","Ozone","","06-113-1002","AQS"
"07/30/1980","61","Ozone","","06-113-1002","AQS"
"07/31/1980","84","Ozone","","06-113-1002","AQS"
"08/01/1980","90","Ozone","","06-113-1002","AQS"
"08/02/1980","122","Ozone","","06-113-1002","AQS"
"08/03/1980","119","Ozone","","06-113-1002","AQS"
"08/04/1980","44","Ozone","","06-113-1002","AQS"
"08/05/1980","49","Ozone","","06-113-1002","AQS"
"08/06/1980","61","Ozone","","06-113-1002","AQS"
"08/07/1980","100","Ozone","","06-113-1002","AQS"
"08/08/1980","105","Ozone","","06-113-1002","AQS"
"08/09/1980","136","Ozone","","06-113-1002","AQS"
"08/10/1980","154","Ozone","","06-113-1002","AQS"
"08/11/1980","151","Ozone","","06-113-1002","AQS"
"08/12/1980","143","Ozone","","06-113-1002","AQS"
"08/13/1980","54","Ozone","","06-113-1002","AQS"
"08/14/1980","44","Ozone","","06-113-1002","AQS"
"08/15/1980","154","Ozone","","06-113-1002","AQS"
"08/16/1980","84","Ozone","","06-113-1002","AQS"
"08/17/1980","87","Ozone","","06-113-1002","AQS"
"08/18/1980","31","Ozone","","06-113-1002","AQS"
"08/19/1980","61","Ozone","","06-113-1002","AQS"
"08/20/1980","93","Ozone","","06-113-1002","AQS"
"08/21/1980","58","Ozone","","06-113-1002","AQS"
"08/22/1980","44","Ozone","","06-113-1002","AQS"
"08/23/1980","87","Ozone","","06-113-1002","AQS"
"08/24/1980","67","Ozone","","06-113-1002","AQS"
"08/25/1980","48","Ozone","","06-113-1002","AQS"
"08/26/1980","46","Ozone","","06-113-1002","AQS"
"08/27/1980","48","Ozone","","06-113-1002","AQS"
"08/28/1980","44","Ozone","","06-113-1002","AQS"
"08/29/1980","47","Ozone","","06-113-1002","AQS"
"08/30/1980","58","Ozone","","06-113-1002","AQS"
"08/31/1980","101","Ozone","","06-113-1002","AQS"
"09/01/1980","84","Ozone","","06-113-1002","AQS"
"09/02/1980","48","Ozone","","06-113-1002","AQS"
"09/03/1980","87","Ozone","","06-113-1002","AQS"
"09/04/1980","100","Ozone","","06-113-1002","AQS"
"09/05/1980","112","Ozone","","06-113-1002","AQS"
"09/06/1980","40","Ozone","","06-113-1002","AQS"
"09/07/1980","40","Ozone","","06-113-1002","AQS"
"09/08/1980","71","Ozone","","06-113-1002","AQS"
"09/09/1980","90","Ozone","","06-113-1002","AQS"
"09/10/1980","42","Ozone","","06-113-1002","AQS"
"09/11/1980","87","Ozone","","06-113-1002","AQS"
"09/12/1980","41","Ozone","","06-113-1002","AQS"
"09/13/1980","37","Ozone","","06-113-1002","AQS"
"09/14/1980","38","Ozone","","06-113-1002","AQS"
"09/15/1980","44","Ozone","","06-113-1002","AQS"
"09/16/1980","84","Ozone","","06-113-1002","AQS"
"09/17/1980","90","Ozone","","06-113-1002","AQS"
"09/18/1980","30","Ozone","","06-113-1002","AQS"
"09/19/1980","32","Ozone","","06-113-1002","AQS"
"09/20/1980","33","Ozone","","06-113-1002","AQS"
"09/21/1980","34","Ozone","","06-113-1002","AQS"
"09/22/1980","33","Ozone","","06-113-1002","AQS"
"09/23/1980","38","Ozone","","06-113-1002","AQS"
"09/24/1980","143","Ozone","","06-113-1002","AQS"
"09/25/1980","179","Ozone","","06-113-1002","AQS"
"09/26/1980","47","Ozone","","06-113-1002","AQS"
"09/27/1980","46","Ozone","","06-113-1002","AQS"
"09/28/1980","54","Ozone","","06-113-1002","AQS"
"09/29/1980","133","Ozone","","06-113-1002","AQS"
"09/30/1980","67","Ozone","","06-113-1002","AQS"
"10/01/1980","47","Ozone","","06-113-1002","AQS"
"10/02/1980","44","Ozone","","06-113-1002","AQS"
"10/03/1980","203","Ozone","","06-113-1002","AQS"
"10/04/1980","44","Ozone","","06-113-1002","AQS"
"10/05/1980","177","Ozone","","06-113-1002","AQS"
"10/06/1980","151","Ozone","","06-113-1002","AQS"
"10/07/1980","51","Ozone","","06-113-1002","AQS"
"10/08/1980","136","Ozone","","06-113-1002","AQS"
"10/09/1980","67","Ozone","","06-113-1002","AQS"
"10/10/1980","34","Ozone","","06-113-1002","AQS"
"10/11/1980","29","Ozone","","06-113-1002","AQS"
"10/12/1980","28","Ozone","","06-113-1002","AQS"
"10/13/1980","29","Ozone","","06-113-1002","AQS"
"10/14/1980","33","Ozone","","06-113-1002","AQS"
"10/15/1980","33","Ozone","","06-113-1002","AQS"
"10/16/1980","20","Ozone","","06-113-1002","AQS"
"10/17/1980","22","Ozone","","06-113-1002","AQS"
"10/18/1980","30","CO","","06-113-1002","AQS"
"10/19/1980","54","Ozone","","06-113-1002","AQS"
"10/20/1980","42","Ozone","","06-113-1002","AQS"
"10/21/1980","37","Ozone","","06-113-1002","AQS"
"10/22/1980","29","Ozone","","06-113-1002","AQS"
"10/23/1980","46","Ozone","","06-113-1002","AQS"
"10/24/1980","40","Ozone","","06-113-1002","AQS"
"10/25/1980","21","Ozone","","06-113-1002","AQS"
"10/26/1980","32","Ozone","","06-113-1002","AQS"
"10/27/1980","25","Ozone","","06-113-1002","AQS"
"10/28/1980","24","Ozone","","06-113-1002","AQS"
"10/29/1980","42","Ozone","","06-113-1002","AQS"
"10/30/1980","39","CO","","06-113-1002","AQS"
"10/31/1980","35","Ozone","","06-113-1002","AQS"
"11/01/1980","43","Ozone","","06-113-1002","AQS"
"11/02/1980","40","Ozone","","06-113-1002","AQS"
"11/03/1980","27","CO","","06-113-1002","AQS"
"11/04/1980","38","Ozone","","06-113-1002","AQS"
"11/05/1980","33","Ozone","","06-113-1002","AQS"
"11/06/1980","33","Ozone","","06-113-1002","AQS"
"11/07/1980","16","Ozone","","06-113-1002","AQS"
"11/08/1980","25","Ozone","","06-113-1002","AQS"
"11/09/1980","23","Ozone","","06-113-1002","AQS"
"11/10/1980","24","CO","","06-113-1002","AQS"
"11/11/1980","24","CO","","06-113-1002","AQS"
"11/12/1980","23","Ozone","","06-113-1002","AQS"
"11/13/1980","50","CO","","06-113-1002","AQS"
"11/14/1980","51","CO","","06-113-1002","AQS"
"11/15/1980","43","Ozone","","06-113-1002","AQS"
"11/16/1980","34","CO","","06-113-1002","AQS"
"11/17/1980","34","Ozone","","06-113-1002","AQS"
"11/18/1980","55","CO","","06-113-1002","AQS"
"11/19/1980","57","CO","","06-113-1002","AQS"
"11/20/1980","39","CO","","06-113-1002","AQS"
"11/21/1980","33","CO","","06-113-1002","AQS"
"11/22/1980","15","Ozone","","06-113-1002","AQS"
"11/23/1980","19","Ozone","","06-113-1002","AQS"
"11/24/1980","24","Ozone","","06-113-1002","AQS"
"11/25/1980","26","Ozone","","06-113-1002","AQS"
"11/26/1980","49","CO","","06-113-1002","AQS"
"11/27/1980","49","CO","","06-113-1002","AQS"
"11/28/1980","40","CO","","06-113-1002","AQS"
"11/29/1980","23","Ozone","","06-113-1002","AQS"
"11/30/1980","29","Ozone","","06-113-1002","AQS"
"12/01/1980","7","CO","","06-113-1002","AQS"
"01/01/1981","10","CO","","06-113-1002","AQS"
"01/02/1981","11","CO","","06-113-1002","AQS"
"01/03/1981","11","CO","","06-113-1002","AQS"
"01/04/1981","19","Ozone","","06-113-1002","AQS"
"01/05/1981","16","CO","","06-113-1002","AQS"
"01/06/1981","16","CO","","06-113-1002","AQS"
"01/07/1981","11","CO","","06-113-1002","AQS"
"01/08/1981","12","Ozone","","06-113-1002","AQS"
"01/09/1981","10","CO","","06-113-1002","AQS"
"01/10/1981","11","CO","","06-113-1002","AQS"
"01/11/1981","10","CO","","06-113-1002","AQS"
"01/12/1981","39","CO","","06-113-1002","AQS"
"01/13/1981","43","CO","","06-113-1002","AQS"
"01/14/1981","44","CO","","06-113-1002","AQS"
"01/15/1981","41","CO","","06-113-1002","AQS"
"01/16/1981","41","CO","","06-113-1002","AQS"
"01/17/1981","20","CO","","06-113-1002","AQS"
"01/18/1981","24","Ozone","","06-113-1002","AQS"
"01/19/1981","19","Ozone","","06-113-1002","AQS"
"01/20/1981","22","CO","","06-113-1002","AQS"
"01/21/1981","20","Ozone","","06-113-1002","AQS"
"01/22/1981","23","Ozone","","06-113-1002","AQS"
"01/23/1981","24","Ozone","","06-113-1002","AQS"
"01/24/1981","20","Ozone","","06-113-1002","AQS"
"01/25/1981","24","Ozone","","06-113-1002","AQS"
"01/26/1981","24","Ozone","","06-113-1002","AQS"
"01/27/1981","28","Ozone","","06-113-1002","AQS"
"01/28/1981","28","Ozone","","06-113-1002","AQS"
"01/29/1981","26","Ozone","","06-113-1002","AQS"
"01/30/1981","26","CO","","06-113-1002","AQS"
"01/31/1981","26","CO","","06-113-1002","AQS"
"02/01/1981","28","CO","","06-113-1002","AQS"
"02/02/1981","28","CO","","06-113-1002","AQS"
"02/03/1981","35","CO","","06-113-1002","AQS"
"02/04/1981","35","CO","","06-113-1002","AQS"
"02/05/1981","28","CO","","06-113-1002","AQS"
"02/06/1981","24","CO","","06-113-1002","AQS"
"02/07/1981","24","CO","","06-113-1002","AQS"
"02/08/1981","13","CO","","06-113-1002","AQS"
"02/09/1981","30","Ozone","","06-113-1002","AQS"
"02/10/1981","21","Ozone","","06-113-1002","AQS"
"02/11/1981","21","Ozone","","06-113-1002","AQS"
"02/12/1981","21","Ozone","","06-113-1002","AQS"
"02/13/1981","20","CO","","06-113-1002","AQS"
"02/14/1981","24","Ozone","","06-113-1002","AQS"
"02/15/1981","24","Ozone","","06-113-1002","AQS"
"02/16/1981","19","Ozone","","06-113-1002","AQS"
"02/17/1981","19","Ozone","","06-113-1002","AQS"
"02/18/1981","19","Ozone","","06-113-1002","AQS"
"02/19/1981","26","Ozone","","06-113-1002","AQS"
"02/20/1981","28","Ozone","","06-113-1002","AQS"
"02/21/1981","37","Ozone","","06-113-1002","AQS"
"02/22/1981","42","Ozone","","06-113-1002","AQS"
"02/23/1981","43","Ozone","","06-113-1002","AQS"
"02/24/1981","30","Ozone","","06-113-1002","AQS"
"02/25/1981","25","Ozone","","06-113-1002","AQS"
"02/26/1981","21","Ozone","","06-113-1002","AQS"
"02/27/1981","30","Ozone","","06-113-1002","AQS"
"02/28/1981","19","Ozone","","06-113-1002","AQS"
"03/01/1981","25","Ozone","","06-113-1002","AQS"
"03/02/1981","32","Ozone","","06-113-1002","AQS"
"03/03/1981","26","Ozone","","06-113-1002","AQS"
"03/04/1981","23","Ozone","","06-113-1002","AQS"
"03/05/1981","28","Ozone","","06-113-1002","AQS"
"03/06/1981","30","Ozone","","06-113-1002","AQS"
"03/07/1981","28","Ozone","","06-113-1002","AQS"
"03/08/1981","34","Ozone","","06-113-1002","AQS"
"03/09/1981","40","Ozone","","06-113-1002","AQS"
"03/10/1981","37","Ozone","","06-113-1002","AQS"
"03/11/1981","49","Ozone","","06-113-1002","AQS"
"03/12/1981","37","Ozone","","06-113-1002","AQS"
"03/13/1981","37","Ozone","","06-113-1002","AQS"
"03/14/1981","28","Ozone","","06-113-1002","AQS"
"03/15/1981","19","Ozone","","06-113-1002","AQS"
"03/16/1981","25","Ozone","","06-113-1002","AQS"
"03/17/1981","26","Ozone","","06-113-1002","AQS"
"03/18/1981","17","CO","","06-113-1002","AQS"
"03/19/1981","19","Ozone","","06-113-1002","AQS"
"03/20/1981","26","Ozone","","06-113-1002","AQS"
"03/21/1981","31","Ozone","","06-113-1002","AQS"
"03/22/1981","37","Ozone","","06-113-1002","AQS"
"03/23/1981","34","Ozone","","06-113-1002","AQS"
"03/24/1981","42","Ozone","","06-113-1002","AQS"
"03/25/1981","30","Ozone","","06-113-1002","AQS"
"03/26/1981","29","Ozone","","06-113-1002","AQS"
"03/27/1981","32","Ozone","","06-113-1002","AQS"
"03/28/1981","34","Ozone","","06-113-1002","AQS"
"03/29/1981","33","Ozone","","06-113-1002","AQS"
"03/30/1981","33","Ozone","","06-113-1002","AQS"
"03/31/1981","31","Ozone","","06-113-1002","AQS"
"04/01/1981","34","Ozone","","06-113-1002","AQS"
"04/02/1981","33","Ozone","","06-113-1002","AQS"
"04/03/1981","35","Ozone","","06-113-1002","AQS"
"04/04/1981","42","Ozone","","06-113-1002","AQS"
"04/05/1981","58","Ozone","","06-113-1002","AQS"
"04/06/1981","42","Ozone","","06-113-1002","AQS"
"04/07/1981","38","Ozone","","06-113-1002","AQS"
"04/08/1981","37","Ozone","","06-113-1002","AQS"
"04/09/1981","35","Ozone","","06-113-1002","AQS"
"04/10/1981","38","Ozone","","06-113-1002","AQS"
"04/11/1981","43","Ozone","","06-113-1002","AQS"
"04/12/1981","42","Ozone","","06-113-1002","AQS"
"04/13/1981","39","Ozone","","06-113-1002","AQS"
"04/14/1981","84","Ozone","","06-113-1002","AQS"
"04/15/1981","42","Ozone","","06-113-1002","AQS"
"04/16/1981","35","Ozone","","06-113-1002","AQS"
"04/17/1981","44","Ozone","","06-113-1002","AQS"
"04/18/1981","24","Ozone","","06-113-1002","AQS"
"04/19/1981","25","Ozone","","06-113-1002","AQS"
"04/20/1981","38","Ozone","","06-113-1002","AQS"
"04/21/1981","34","Ozone","","06-113-1002","AQS"
"04/22/1981","40","Ozone","","06-113-1002","AQS"
"04/23/1981","100","Ozone","","06-113-1002","AQS"
"04/24/1981","29","Ozone","","06-113-1002","AQS"
"04/25/1981","29","Ozone","","06-113-1002","AQS"
"04/26/1981","35","Ozone","","06-113-1002","AQS"
"04/27/1981","34","Ozone","","06-113-1002","AQS"
"04/28/1981","32","Ozone","","06-113-1002","AQS"
"04/29/1981","90","Ozone","","06-113-1002","AQS"
"04/30/1981","150","Ozone","","06-113-1002","AQS"
"05/01/1981","44","Ozone","","06-113-1002","AQS"
"05/02/1981","51","Ozone","","06-113-1002","AQS"
"05/03/1981","40","Ozone","","06-113-1002","AQS"
"05/04/1981","47","Ozone","","06-113-1002","AQS"
"05/05/1981","44","Ozone","","06-113-1002","AQS"
"05/06/1981","44","Ozone","","06-113-1002","AQS"
"05/07/1981","44","Ozone","","06-113-1002","AQS"
"05/08/1981","35","Ozone","","06-113-1002","AQS"
"05/09/1981","43","Ozone","","06-113-1002","AQS"
"05/10/1981","54","Ozone","","06-113-1002","AQS"
"05/11/1981","39","Ozone","","06-113-1002","AQS"
"05/12/1981","44","Ozone","","06-113-1002","AQS"
"05/13/1981","49","Ozone","","06-113-1002","AQS"
"05/14/1981","34","Ozone","","06-113-1002","AQS"
"05/15/1981","39","Ozone","","06-113-1002","AQS"
"05/16/1981","43","Ozone","","06-113-1002","AQS"
"05/17/1981","25","Ozone","","06-113-1002","AQS"
"05/18/1981","33","Ozone","","06-113-1002","AQS"
"05/19/1981","31","Ozone","","06-113-1002","AQS"
"05/20/1981","44","Ozone","","06-113-1002","AQS"
"05/21/1981","51","Ozone","","06-113-1002","AQS"
